HISTORICAL DAILY EXCHANGE RATES OF THE AUSTRALIAN DOLLAR AGAINST:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,A$1=USD,Trade-weighted Index May 1970 = 100,A$1=CNY,A$1=JPY,A$1=EUR,A$1=KRW,A$1=GBP,A$1=SGD,A$1=INR,A$1=THB,A$1=NZD,A$1=TWD,A$1=MYR,A$1=IDR,A$1=VND,A$1=AED,A$1=PGK,A$1=HKD,A$1=CAD,A$1=ZAR,A$1=SAR,A$1=CHF,A$1=SEK,A$1=PHP,A$1=SDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,AUD/USD Exchange Rate; see notes for further detail,Australian Dollar Trade-weighted Index,AUD/CNY Exchange Rate,AUD/JPY Exchange Rate,AUD/EUR Exchange Rate,AUD/KRW Exchange Rate,AUD/GBP Exchange Rate,AUD/SGD Exchange Rate,AUD/INR Exchange Rate,AUD/THB Exchange Rate,AUD/NZD Exchange Rate,AUD/TWD Exchange Rate,AUD/MYR Exchange Rate,AUD/IDR Exchange Rate,AUD/VND Exchange Rate,AUD/AED Exchange Rate,AUD/PGK Exchange Rate,AUD/HKD Exchange Rate,AUD/CAD Exchange Rate,AUD/ZAR Exchange Rate,AUD/SAR Exchange Rate,AUD/CHF Exchange Rate,AUD/SEK Exchange Rate,AUD/PHP Exchange Rate,AUD/SDR Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,Indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,USD,Index,CNY,JPY,EUR,KRW,GBP,SGD,INR,THB,NZD,TWD,MYR,IDR,VND,AED,PGK,HKD,CAD,ZAR,SAR,CHF,SEK,PHP,SDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,WM/Reuters,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,IMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publication date,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,31-Dec-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,FXRUSD,FXRTWI,FXRCR,FXRJY,FXREUR,FXRSKW,FXRUKPS,FXRSD,FXRIRE,FXRTB,FXRNZD,FXRNTD,FXRMR,FXRIR,FXRVD,FXRUAED,FXRPNGK,FXRHKD,FXRCD,FXRSARD,FXRSARY,FXRSF,FXRSK,FXRPHP,FXRSDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-2010,0.9133,70.6,6.2355,83.71,0.6334,1042.35,0.5678,1.2745,42.23,30.27,1.2456,29.04,3.0915,8494,16872,3.3541,2.4684,7.0836,0.9496,6.6671,3.4256,0.9402,6.4310,,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-2010,0.9138,70.7,6.2390,84.12,0.6366,1037.67,0.5717,1.2763,42.12,30.29,1.2451,29.08,3.0932,8494,16882,3.3559,2.4697,7.0873,0.9482,6.7279,3.4269,0.9455,6.5004,,0.5829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-2010,0.9225,71.3,6.2986,85.13,0.6406,1045.65,0.5765,1.2863,42.23,30.55,1.2492,29.36,3.1088,8510,17045,3.3879,2.4932,7.1537,0.9527,6.7555,3.4597,0.9492,6.5285,,0.5899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-2010,0.9154,71.0,6.2503,85.28,0.6396,1035.73,0.5742,1.2801,41.92,30.36,1.2514,29.16,3.0954,8449,16911,3.3618,2.4741,7.0998,0.9470,6.8014,3.4330,0.9468,6.5213,,0.5863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-2010,0.9309,71.7,6.3545,85.95,0.6420,1041.17,0.5788,1.2926,42.28,30.77,1.2580,29.54,3.1069,8504,17197,3.4187,2.5159,7.2194,0.9562,6.7956,3.4911,0.9465,6.5418,,0.5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-2010,0.9272,71.5,6.3306,85.49,0.6402,1042.27,0.5763,1.2890,42.17,30.64,1.2525,29.47,3.1029,8507,17129,3.4051,2.5059,7.1903,0.9597,6.8846,3.4772,0.9444,6.5436,,0.5894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-2010,0.9238,71.1,6.3066,84.16,0.6376,1039.00,0.5706,1.2833,42.21,30.53,1.2462,29.38,3.0929,8476,17066,3.3927,2.4968,7.1643,0.9589,6.8636,3.4644,0.9407,6.5214,,0.5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-2010,0.9296,71.5,6.3460,85.30,0.6396,1042.83,0.5707,1.2887,42.25,30.61,1.2549,29.52,3.0993,8508,17173,3.4140,2.5124,7.2103,0.9580,6.8651,3.4860,0.9457,6.5207,,0.5895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-2010,0.9272,71.3,6.3301,84.45,0.6431,1042.08,0.5676,1.2882,42.33,30.48,1.2560,29.41,3.0992,8526,17129,3.4051,2.5059,7.1937,0.9510,6.8752,3.4759,0.9495,6.5445,,0.5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-2010,0.9224,71.0,6.2969,83.85,0.6417,1038.62,0.5655,1.2817,42.16,30.32,1.2516,29.30,3.0836,8514,17040,3.3875,2.4930,7.1589,0.9485,6.8396,3.4590,0.9478,6.5117,,0.5870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-2010,0.9237,70.9,6.3058,83.49,0.6417,1038.33,0.5631,1.2820,42.15,30.33,1.2513,29.35,3.0810,8522,17032,3.3923,2.4965,7.1722,0.9482,6.8293,3.4639,0.9464,6.4847,,0.5878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-2010,0.9174,70.8,6.2635,83.64,0.6455,1039.83,0.5624,1.2784,42.08,30.19,1.2577,29.19,3.0760,8504,16951,3.3692,2.4795,7.1227,0.9500,6.8183,3.4405,0.9520,6.5128,,0.5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-2010,0.9136,70.8,6.2380,83.67,0.6481,1039.63,0.5616,1.2782,42.03,30.10,1.2663,29.15,3.0793,8503,16878,3.3552,2.4692,7.0978,0.9554,6.8681,3.4263,0.9543,6.5870,,0.5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
